ma_nhan_vien,ho_ten,gioi_tinh,bo_phan,chuc_vu,ma_cua_hang,ngay_vao_lam,luong_co_ban,so_dien_thoai,ghi_chu
NV0049,Đỗ Thùy Yến,Nữ,,Nhân viên kho,CH007,2024-12-26,"7,690,000",0325886792,
NV0050,Vũ Thanh Hùng,Nữ,,Trưởng kho,CH013,"Tháng 9, 2018",12.890.962 VND,0782985856,
NV0051,Đỗ Quang Nam,Nam,,Trưởng kho,CH027,2023-09-28,12.510.369 VND,0782872760,
NV0052,Huỳnh Thùy Hiền,Nam,,Trưởng kho,CH015,2018-10-20,"12,662,000",0343433249,
NV0053,Phạm Minh Linh,Nam,Kinh doanh,Trưởng ca,CH011,2019-12-26,12.627.341,0783577908,
NV0054,Đỗ Đức Tuấn,Nữ,,Trưởng ca,CH017,2018-08-06,11.559.949 VND,0975061581,
NV0055,Dương Bá Khải,Nam,,Trưởng ca,CH013,2023-07-13,11.712.450,0798810798,
NV0056,Trần Thanh Huy,Nữ,,Nhân viên bán hàng,CH006,2023-06-15,"8,735,000",0984233720,
NV0057,Nguyễn Thanh Nhung,Nam,,Trưởng ca,CH005,2023-12-14,"11,932,000",0794131284,
NV0058,Bùi Ngọc Hoa,Nam,,Nhân viên bán hàng,CH005,2023-11-18,9.105.003,0973399771,
NV0059,Võ Thanh Mạnh,Nam,,Trưởng ca,CH016,2022-11-06,12.520.945 VND,0341371717,
NV0060,Vũ Văn Tuấn,Nam,,Trưởng ca,CH012,04/10/2020,12.524.178 VND,0938939749,
NV0061,Lê Thanh Thảo,Nam,,Nhân viên bán hàng,CH013,10/02/2022,8.067.395 VND,0776173997,
NV0062,Võ Minh Thảo,Nữ,,Trưởng ca,CH003,04/07/2024,12.604.300 VND,0326947258,
NV0063,Ngô Ngọc Phương,Nữ,,Nhân viên bán hàng,CH015,2022-02-27,9.185.820 VND,0704448354,
NV0064,Lê Thanh Lan,Nữ,,Tư vấn sản phẩm,CH010,28/11/2023,"9,131,000",0787127058,
NV0065,Phạm Quang Dũng,Nữ,,Tư vấn sản phẩm,CH009,"Tháng 1, 2021",9.430.749 VND,0392216417,
NV0066,Huỳnh Bá Kiên,Nữ,,Tư vấn sản phẩm,CH014,28/12/2021,"9,083,000",0788231334,
NV0067,Hồ Phương Lan,Nam,,Tư vấn sản phẩm,CH012,2018-01-20,8.740.068,0348714939,
NV0068,Đặng Thị Lan,Nữ,,Trưởng ca,CH005,"Tháng 6, 2019",12.442.690 VND,0342362292,
NV0069,Phạm Thanh Phong,Nữ,,Tư vấn sản phẩm,CH020,10/11/2021,"8,921,000",0707964347,
NV0070,Trần Bá Hùng,Nữ,,Trưởng ca,CH022,04/11/2023,11.569.707,0352455574,
NV0071,Nguyễn Bá Đạt,Nam,,Trưởng ca,CH018,2020-01-08,12.027.185 VND,0776606065,
NV0072,Trần Lan Lan,Nam,,Nhân viên bán hàng,CH006,2020-06-07,8.915.458,0384033445,
NV0073,Nguyễn Quang Khải,Nữ,,Trưởng ca,CH009,2021-11-25,11.739.575,0346658833,
NV0074,Hồ Kim Phương,Nữ,,Tư vấn sản phẩm,CH022,2020-02-03,"9,382,000",0321132579,
NV0075,Bùi Thanh Lan,Nam,,Tư vấn sản phẩm,CH009,01/08/2019,8.753.312 VND,0916734996,
NV0076,Võ Hoài Vũ,Nam,,Nhân viên bán hàng,CH024,12/07/2021,"8,843,000",0930548574,
NV0077,Đỗ Bá Vũ,Nữ,,Tư vấn sản phẩm,CH023,03/09/2024,"8,516,000",0392156229,
NV0078,Dương Hoài Đạt,Nữ,,Nhân viên bán hàng,CH019,2024-04-01,8.054.058 VND,0773817359,
NV0079,Đỗ Đức Kiên,Nữ,,Tư vấn sản phẩm,CH014,2019-09-11,"9,450,000",0798402155,
NV0080,Dương Thị Thảo,Nam,,Tư vấn sản phẩm,CH008,"Tháng 12, 2018",9.165.902,0972573755,
NV0081,Đỗ Xuân Long,Nữ,,Trưởng ca,CH023,21/04/2019,"12,582,000",0324902166,
NV0082,Dương Thu Dung,Nữ,,Tư vấn sản phẩm,CH016,"Tháng 9, 2024","8,603,000",0390808509,
NV0083,Nguyễn Thị Hằng,Nam,,Nhân viên bán hàng,CH020,20/09/2024,"8,200,000",0918587495,
NV0084,Đặng Văn Hải,Nam,,Trưởng ca,CH022,2024-04-15,"12,499,000",0929181828,
NV0085,Huỳnh Minh Dung,Nữ,,Tư vấn sản phẩm,CH026,"Tháng 2, 2023",8.854.954,0777931647,
NV0086,Hồ Văn Nam,Nữ,,Trưởng ca,CH022,04/12/2022,11.913.909 VND,0945129578,
NV0087,Vũ Minh Mai,Nam,,Nhân viên bán hàng,CH020,16/09/2024,9.147.320 VND,0906940960,
NV0088,Huỳnh Văn Vũ,Nữ,,Trưởng ca,CH023,2019-05-10,"12,725,000",0985624395,
NV0089,Hoàng Minh Long,Nam,,Nhân viên bán hàng,CH009,"Tháng 2, 2022","9,231,000",0783959232,
NV0090,Lê Minh Phong,Nữ,,Tư vấn sản phẩm,CH006,11/01/2024,8.609.448,0332108902,
NV0091,Đỗ Thanh Dũng,Nữ,,Nhân viên bán hàng,CH023,2019-08-02,9.276.177,0925533342,
NV0092,Trần Ngọc Lan,Nữ,,Tư vấn sản phẩm,CH008,24/03/2018,8.889.354 VND,0323350271,
NV0093,Lê Thùy Nhung,Nam,,Nhân viên bán hàng,CH020,2019-12-14,"9,354,000",0907360776,
NV0094,Huỳnh Lan Thảo,Nam,,Trưởng ca,CH012,2023-10-02,12.970.708,0976911289,
NV0095,Hồ Văn Phong,Nam,,Trưởng ca,CH018,"Tháng 10, 2024","12,707,000",0963179556,
NV0096,Hồ Thị Linh,Nữ,,Nhân viên bán hàng,CH001,2020-03-26,8.961.991 VND,0971857481,
NV0097,Bùi Minh Tuấn,Nữ,,Trưởng ca,CH002,10/05/2019,11.887.120,0900666155,
NV0098,Vũ Hoài Thắng,Nữ,,Trưởng ca,CH001,2021-12-07,12.901.813 VND,0926431670,
NV0099,Nguyễn Kim Thảo,Nam,Quản lý cửa hàng,Phó giám đốc,CH016,15/02/2018,18.761.291 VND,0785023290,
NV0100,Trần Văn Long,Nữ,,Phó giám đốc,CH004,"Tháng 5, 2018",18.785.031 VND,0702270093,
NV0101,Phạm Đức Hùng,Nam,,Giám đốc cửa hàng,CH005,09/10/2018,"24,638,000",0359626228,
NV0102,Võ Bá Phong,Nữ,,Giám đốc cửa hàng,CH007,"Tháng 5, 2023",25.000.421,0965120734,
NV0103,Vũ Đức Hùng,Nam,,Phó giám đốc,CH016,"Tháng 1, 2024",18.109.555,0785495005,
NV0104,Bùi Thị Hương,Nam,,Phó giám đốc,CH014,2020-03-12,"18,552,000",0390260869,
NV0105,Phan Bích Trang,Nam,,Giám đốc cửa hàng,CH020,"Tháng 4, 2024","25,045,000",0961053161,
NV0106,Võ Thùy Nga,Nữ,,Giám đốc cửa hàng,CH010,2020-12-17,25.575.933,0397687290,
NV0107,Trần Đức Phong,Nam,,Giám đốc cửa hàng,CH027,11/08/2023,24.996.222,0397425859,
NV0108,Đặng Thùy Hiền,Nam,,Phó giám đốc,CH021,"Tháng 6, 2018","18,846,000",0397932382,
NV0109,Trần Lan Lan,Nam,,Giám đốc cửa hàng,CH001,27/12/2022,25.225.290,0981164913,
NV0110,Trần Văn Nam,Nữ,,Giám đốc cửa hàng,CH019,10/03/2021,25.158.769 VND,0322457988,
NV0111,Võ Hữu Vũ,Nam,,Phó giám đốc,CH016,2018-10-25,"18,050,000",0945652906,
NV0112,Hoàng Kim Dung,Nữ,,Phó giám đốc,CH016,01/10/2023,"18,143,000",0972020326,
NV0113,Bùi Văn Nam,Nữ,,Giám đốc cửa hàng,CH005,2023-09-28,25.716.118 VND,0909775396,
NV0114,Đỗ Thanh Long,Nữ,,Giám đốc cửa hàng,CH008,2018-11-28,"25,633,000",0977948714,
NV0115,Trần Ngọc Yến,Nữ,,Giám đốc cửa hàng,CH010,17/02/2021,24.996.980,0342457871,
NV0116,Hồ Hữu Đạt,Nam,,Giám đốc cửa hàng,CH020,"Tháng 12, 2023",25.994.934 VND,0704156082,
NV0117,Vũ Phương Mai,Nữ,,Giám đốc cửa hàng,CH011,2021-12-27,25.106.687 VND,0987118425,
NV0118,Lê Bá Hải,Nam,,Giám đốc cửa hàng,CH021,22/04/2024,25.056.345 VND,0386818268,
NV0119,Phan Kim Hằng,Nam,,Phó giám đốc,CH004,2020-03-02,"18,944,000",0943035892,
NV0120,Vũ Minh Quỳnh,Nam,,Phó giám đốc,CH015,"Tháng 11, 2023",17.717.867,0795838252,
NV0121,Phạm Hữu Phong,Nữ,,Giám đốc cửa hàng,CH014,2018-12-08,"25,927,000",0969328963,
NV0122,Võ Thanh Mạnh,Nữ,Thu ngân,Thu ngân,CH009,"Tháng 5, 2021",9.112.535 VND,0916468677,
NV0123,Lê Hữu Hải,Nam,,Thu ngân,CH011,12/03/2024,8.152.337,0944014843,
NV0124,Hồ Hữu Dũng,Nam,,Thu ngân trưởng,CH017,23/06/2018,11.189.689,0916227236,
NV0125,Võ Đức Hải,Nam,,Thu ngân trưởng,CH019,"Tháng 10, 2020",10.956.053,0786693351,
NV0126,Hoàng Văn Thắng,Nam,,Thu ngân,CH009,2024-10-01,8.596.358,0322619237,
NV0127,Huỳnh Văn Dũng,Nữ,,Thu ngân,CH019,2021-02-27,8.631.239 VND,0325018481,
NV0128,Trần Thùy Dung,Nam,,Thu ngân trưởng,CH014,20/08/2020,11.324.867 VND,0987418972,
NV0129,Ngô Hữu Mạnh,Nam,,Thu ngân trưởng,CH007,08/01/2018,10.521.802,0344064176,
NV0130,Võ Hoài Tuấn,Nữ,,Thu ngân trưởng,CH013,2022-08-22,11.088.338 VND,0394381199,
NV0131,Hoàng Thanh Khải,Nữ,,Thu ngân,CH003,18/06/2018,"9,383,000",0987660144,
NV0132,Dương Minh Tuấn,Nam,,Thu ngân,CH015,"Tháng 7, 2020",9.076.812,0788564510,
NV0133,Hoàng Trọng Nam,Nam,,Thu ngân,CH009,"Tháng 5, 2023",9.359.757,0393973964,
NV0134,Trần Thùy Linh,Nam,,Thu ngân trưởng,CH014,07/07/2020,"11,332,000",0398996986,
NV0135,Vũ Thanh Kiên,Nữ,,Thu ngân trưởng,CH026,2018-01-21,11.386.232,0761919113,
NV0136,Lê Hữu Vũ,Nam,,Thu ngân,CH021,"Tháng 3, 2021",8.995.309 VND,0779660577,
NV0137,Hoàng Đức Nam,Nam,,Thu ngân,CH008,2023-01-20,"8,993,000",0366039205,
NV0138,Bùi Thùy Hằng,Nam,,Thu ngân,CH013,2023-01-05,"8,461,000",0336074555,
NV0139,Hồ Bích Nhung,Nữ,,Thu ngân,CH017,10/06/2024,8.017.479 VND,0327057423,
NV0140,Phan Phương Lan,Nam,,Thu ngân,CH022,"Tháng 5, 2018",8.651.660,0365271559,
NV0141,Bùi Quang Long,Nam,,Thu ngân trưởng,CH011,18/07/2019,11.131.373 VND,0344116597,
NV0142,Huỳnh Phương Quỳnh,Nam,,Thu ngân trưởng,CH018,15/07/2021,11.672.117,0363475575,
NV0143,Đặng Thanh Huy,Nữ,,Thu ngân,CH011,2019-10-17,"8,266,000",0965013948,
NV0144,Đỗ Bá Thắng,Nam,,Thu ngân,CH027,23/12/2022,9.471.304,0798269131,
NV0145,Lê Thị Trang,Nam,,Thu ngân,CH012,22/12/2019,"8,358,000",0766425856,
NV0146,Vũ Trọng Khánh,Nữ,,Thu ngân trưởng,CH013,2021-03-01,11.458.571,0361499153,
NV0147,Nguyễn Lan Quỳnh,Nam,,Thu ngân,CH012,2018-06-05,8.961.229 VND,0913824073,
NV0148,Đặng Xuân Đạt,Nam,,Thu ngân,CH012,"Tháng 6, 2020",8.289.141,0983732043,
NV0149,Ngô Ngọc Nhung,Nữ,,Thu ngân trưởng,CH001,"Tháng 3, 2018",11.125.427,0767768893,
NV0150,Hoàng Đức Đạt,Nữ,,Thu ngân,CH027,"Tháng 4, 2022","9,281,000",0968969645,
NV0151,Huỳnh Văn Nam,Nam,,Thu ngân trưởng,CH015,"Tháng 9, 2019","11,191,000",0375535851,
NV0152,Lê Kim Hằng,Nữ,,Thu ngân,CH011,2018-02-02,9.064.523,0343892187,
NV0153,Hoàng Thanh Hương,Nam,,Thu ngân trưởng,CH004,25/01/2018,"11,620,000",0939358374,
NV0154,Nguyễn Phương Dung,Nam,,Thu ngân,CH027,2021-12-05,9.470.811 VND,0389779612,
NV0155,Phạm Minh Khánh,Nữ,,Thu ngân trưởng,CH017,"Tháng 4, 2022",11.659.653,0797805721,
NV0156,Hoàng Lan Thảo,Nam,,Thu ngân,CH026,2020-02-02,9.278.733 VND,0924940976,
NV0157,Phan Bích Hương,Nữ,,Thu ngân,CH013,13/04/2019,9.383.964 VND,0363748453,
NV0158,Phan Lan Hằng,Nam,,Thu ngân trưởng,CH016,09/09/2022,11.299.625 VND,0948950905,
NV0159,Vũ Xuân Hùng,Nam,,Thu ngân trưởng,CH017,15/01/2021,11.252.298 VND,0929186233,
NV0160,Trần Phương Lan,Nữ,,Thu ngân trưởng,CH002,2020-03-01,11.772.901 VND,0960715116,
NV0161,Vũ Kim Nhung,Nữ,,Thu ngân trưởng,CH002,12/03/2018,11.110.004,0376725214,
NV0162,Đặng Xuân Thắng,Nam,,Thu ngân,CH006,2022-09-15,8.564.517,0966471246,
NV0163,Trần Thu Yến,Nam,,Thu ngân trưởng,CH024,"Tháng 2, 2022","11,515,000",0985157184,
NV0164,Huỳnh Bích Trang,Nam,,Thu ngân trưởng,CH025,2022-12-19,10.703.211,0760805120,
NV0165,Lê Văn Khánh,Nam,,Thu ngân trưởng,CH003,2023-12-07,11.588.704 VND,0905640995,
NV0166,Hoàng Minh Linh,Nam,,Thu ngân,CH002,2020-05-16,8.468.993,0963972835,
NV0167,Hoàng Ngọc Hiền,Nam,,Thu ngân trưởng,CH019,"Tháng 5, 2019",10.744.239 VND,0949592728,
NV0168,Phạm Đức Vũ,Nam,,Thu ngân trưởng,CH025,2024-05-14,11.182.407,0380908144,
NV0169,Vũ Hữu Thắng,Nam,,Thu ngân,CH012,2018-06-23,9.478.112,0352982173,
NV0170,Bùi Thanh Hương,Nam,,Thu ngân trưởng,CH009,17/05/2020,11.357.747,0765786718,
NV0171,Phan Phương Dung,Nam,,Thu ngân trưởng,CH025,2021-07-13,10.614.574 VND,0343523736,
NV0172,Bùi Thị Hoa,Nữ,,Thu ngân,CH008,"Tháng 7, 2021","8,349,000",0350791815,
NV0173,Võ Quang Hùng,Nữ,,Thu ngân trưởng,CH020,"Tháng 1, 2018","10,715,000",0793452734,
NV0174,Lê Thanh Long,Nữ,,Thu ngân trưởng,CH014,"Tháng 4, 2018",11.018.644,0366617071,
NV0175,Hồ Thu Thảo,Nam,,Thu ngân,CH001,2022-12-01,8.574.723 VND,0797964740,
NV0176,Lê Trọng Mạnh,Nam,,Thu ngân,CH025,"Tháng 8, 2024",9.188.328,0971499825,
NV0177,Đỗ Thanh Dung,Nam,,Thu ngân,CH009,2022-08-18,"8,656,000",0790046358,
NV0178,Trần Phương Hoa,Nam,,Thu ngân,CH010,"Tháng 11, 2023","8,676,000",0378828503,
NV0179,Hoàng Hoài Thắng,Nam,,Thu ngân,CH024,2019-10-23,"9,089,000",0382351373,
NV0180,Phan Minh Trang,Nam,,Thu ngân,CH005,2021-02-01,9.471.077,0916314035,
NV0181,Hồ Lan Mai,Nam,,Thu ngân trưởng,CH015,06/04/2021,10.986.184,0363560229,
NV0182,Huỳnh Kim Yến,Nam,,Thu ngân trưởng,CH026,"Tháng 2, 2024",11.324.698 VND,0764694346,
NV0183,Hoàng Thùy Phương,Nam,,Thu ngân trưởng,CH025,20/02/2022,"10,848,000",0376643749,
NV0184,Nguyễn Hữu Khánh,Nam,,Thu ngân trưởng,CH007,"Tháng 11, 2021",11.389.355,0786072311,
NV0185,Đỗ Minh Khánh,Nữ,,Thu ngân,CH020,2024-03-03,8.250.456,0967128524,
NV0186,Trần Thùy Hoa,Nữ,,Thu ngân,CH002,"Tháng 4, 2024",8.034.968 VND,0338449411,
NV0187,Võ Thị Mai,Nữ,,Thu ngân,CH025,"Tháng 7, 2021",9.404.339,0971873280,
NV0188,Hoàng Thanh Đạt,Nam,,Thu ngân,CH022,2020-02-11,"9,191,000",0391130621,
NV0189,Ngô Quang Long,Nam,,Thu ngân trưởng,CH027,2019-03-10,11.962.885 VND,0986957279,
NV0190,Phan Xuân Kiên,Nữ,,Thu ngân,CH021,04/11/2020,8.750.789 VND,0703350902,
NV0191,Ngô Thanh Hoa,Nam,,Thu ngân trưởng,CH014,2023-06-20,"11,511,000",0322573066,
NV0192,Dương Quang Huy,Nam,,Thu ngân trưởng,CH006,2022-02-14,"11,064,000",0338132357,
NV0193,Võ Minh Vũ,Nam,,Thu ngân,CH001,"Tháng 10, 2020","8,416,000",0381398482,
NV0194,Phan Minh Kiên,Nam,,Thu ngân,CH010,2024-03-13,"8,593,000",0795011688,
NV0195,Huỳnh Xuân Thắng,Nam,,Thu ngân trưởng,CH024,01/10/2023,11.776.163,0762550213,
